Accident_index,District,Accident_location,GPS_X,GPS_Y
87,Wuqi,9,120.540815,24.256015
88,Taiping,7,120.72457,24.117287
89,North,1,120.680948,24.159108
90,Xitun,,120.656758,24.169442
91,Xitun,9,120.615711,24.189477
92,Wuqi,1,120.53675,24.249928
93,Houli,9,120.741797,24.332331
94,Nantun,1,120.640452,24.136077
95,Beitun,,120.692064,24.182714
96,Xitun,,120.637883,24.172571
97,Wuri,,120.647333,24.062495
98,Xinshe,,120.811654,24.190177
99,Wufeng,,120.695526,24.058685
100,Dali,1,120.700683,24.087064
101,South,7,120.67576,24.131219
102,North,,120.682963,24.158029
103,South,,120.677033,24.130659
104,North,9,120.681486,24.167306
105,Taiping,2,120.717854,24.140454
106,Beitun,,120.682215,24.192052
107,Kamioka,8,120.677922,24.24978
108,Xitun,,120.656262,24.169921
109,North,,120.686649,24.155888
110,North,,120.667695,24.169728
111,Taiping,1,120.718321,24.131553
112,South,,120.652408,24.113134
113,Beitun,2,120.688004,24.174274
114,Xitun,,120.634845,24.160867
115,Dali,2,120.719549,24.098045
116,Houli,9,120.708746,24.310858
117,Beitun,7,120.694905,24.176635
118,Dali,19,120.679611,24.095471
119,Xitun,,120.632872,24.204597
120,Xitun,2,120.637112,24.179273
121,Taiping,9,120.728133,24.114533
122,Nantun,,120.650543,24.15395
123,Beitun,,120.691713,24.164976
124,Xitun,,120.610145,24.187037
125,Nantun,1,120.627909,24.119275
126,Longjing,,120.523287,24.203096
127,North,,120.676233,24.158299
128,East,2,120.684947,24.13522
129,Taiping,1,120.715362,24.151987
130,Nantun,,120.637863,24.14234
131,Dongshi,9,120.810892,24.281565
132,Fengyuan,2,120.735912,24.260557
133,Qingshui,9,120.575053,24.26886
134,Beitun,1,120.69041,24.170262
135,West,1,120.669581,24.142755
136,Nantun,1,120.649827,24.148829
137,Shalu,,120.562117,24.245794
138,Nantun,1,120.61403,24.139166
139,North,1,120.673638,24.15573
140,Wuri,,120.624649,24.106111
141,Nantun,9,120.648683,24.137066
142,Beitun,,120.732009,24.171991
143,Dadu,,120.548336,24.143288
144,West,1,120.665269,24.149019
145,Wufeng,2,120.699985,24.075629
146,Dajia,1,120.647016,24.405824
147,Shalu,,120.567155,24.204955
148,North,,120.679126,24.170131
149,Houli,2,120.716685,24.308417
150,Dadu,9,120.530342,24.174872
151,Xitun,,120.606433,24.186537
152,Xitun,,120.656348,24.163913
153,Wuqi,1,120.544008,24.247068
154,Daya,,120.636688,24.208603
155,East,1,120.698315,24.149374
156,Nantun,2,120.648952,24.145732
157,Dali,2,120.681293,24.115178
158,Taiping,9,120.722216,24.145913
159,Nantun,9,120.611656,24.138851
160,Dali,,120.68126,24.115307
161,Taiping,2,120.704788,24.124851
162,Daya,2,120.668708,24.219868
163,Dajia,1,120.620479,24.351691
164,Xitun,2,120.646338,24.169339
165,Dali,1,120.664078,24.086702
166,Longjing,1,120.582026,24.185765
167,Tanzi,1,120.706001,24.219044
168,Taiping,,120.721357,24.155011
169,Xitun,,120.656421,24.160367
170,Longjing,2,120.58412,24.182038
171,Xitun,1,120.652407,24.159681
172,Xitun,,120.62904,24.163157
173,Beitun,9,120.793189,24.205412
174,Xinshe,1,120.812291,24.197603
175,Beitun,,120.730909,24.159307
176,Xitun,,120.659405,24.165603
177,North,,120.675422,24.157522
178,Xitun,9,120.639737,24.161208
179,Tanzi,,120.701159,24.187246
180,Waipu,9,120.645778,24.340424
181,Taiping,1,120.724081,24.136397
182,Xitun,,120.627834,24.183079
183,Wuqi,,120.54375,24.255989
184,Xitun,8,120.64312,24.16662
185,Qingshui,2,120.569341,24.271643
186,Tanzi,,120.702976,24.213269
187,Nantun,8,120.634736,24.150273
188,Fengyuan,,120.711519,24.242488
189,North,8,120.671428,24.172764
190,Xitun,,120.639401,24.170743
191,Dali,1,120.706835,24.082219
192,Xitun,,120.636528,24.170784
193,East,1,120.702219,24.138856
194,Daya,9,120.613643,24.229798
195,Nantun,2,120.654398,24.138304
196,Daya,2,120.649749,24.227214
197,Beitun,,120.671521,24.173929
198,Beitun,,120.661743,24.189379
199,Xitun,1,120.627094,24.181222
200,Dali,8,120.689056,24.077571
201,Nantun,,120.622643,24.150214
202,Nantun,2,120.645407,24.150992
203,Dali,9,120.701199,24.121864
204,Wuri,,120.631206,24.104986
205,Xitun,,120.617101,24.185403
206,North,,120.693546,24.155611
207,Dali,,120.688693,24.103145
208,Nantun,,120.617848,24.153729
209,Xitun,,120.656759,24.166014
210,Longjing,,120.587826,24.185948
211,Qingshui,2,120.581499,24.282091
212,Daya,9,120.658726,24.240021
213,Kamioka,7,120.695534,24.238142
214,Longjing,,120.576503,24.182396
215,North,24,120.684871,24.163423
216,Dali,1,120.698752,24.094366
217,Wuri,,120.650316,24.092795
218,East,1,120.70151,24.138917
219,Xitun,9,120.616634,24.186166
220,Beitun,,120.694321,24.165547
221,West,1,120.677239,24.140214
222,Central,,120.683292,24.142007
223,Beitun,,120.699425,24.176389
224,North,1,120.669247,24.166837
225,Tanzi,1,120.707632,24.225728
226,South,,120.667403,24.114285
227,Longjing,,120.584579,24.183462
228,Fengyuan,1,120.740728,24.251764
229,Shalu,,120.594301,24.218387
230,Shalu,1,120.566909,24.229288
231,Beitun,,120.720721,24.168662
232,Beitun,,120.719034,24.162008
233,Daya,,120.641943,24.208254
234,Fengyuan,1,120.721219,24.250806
235,Qingshui,,120.576268,24.272476
236,North,2,120.665117,24.156691
237,Beitun,,120.685566,24.169886
238,Xitun,,120.611113,24.19104
239,Taiping,,120.71409,24.115872
240,Beitun,1,120.68627,24.185439
241,East,,120.698526,24.139017
242,Taiping,9,120.729939,24.134599
243,Xitun,,120.638819,24.181318
244,Shalu,,120.570158,24.222058
245,West,1,120.671999,24.13511
246,Xitun,,120.607561,24.185253
247,Beitun,,120.685648,24.177873
248,Taiping,9,120.715273,24.148915
249,North,9,120.685597,24.153832
250,South,1,120.682848,24.130741
251,West,,120.654738,24.152468
252,Wuri,1,120.618199,24.1052
253,Beitun,,120.718907,24.183893
254,Xitun,,120.636901,24.164395
255,Qingshui,,120.536292,24.271805
256,Kamioka,,120.687074,24.246997
257,West,1,120.667305,24.140607
258,Nantun,,120.646456,24.12953
259,Xitun,8,120.645877,24.172452
260,Dali,,120.685467,24.10084
261,Longjing,9,120.582297,24.177854
262,Kamioka,9,120.658839,24.262015
263,West,,120.6595,24.133598
264,Nantun,,120.63996,24.151539
265,Nantun,1,120.646536,24.134684
266,Taiping,,120.712135,24.132843
267,Houli,,120.721987,24.30726
268,Xitun,1,120.667065,24.178036
269,Shalu,,120.562988,24.236709
270,Daya,,120.645261,24.225089
271,Kamioka,,120.671102,24.25632
272,Taiping,9,120.706949,24.121433
273,Dadu,,120.544053,24.155793
274,Beitun,,120.722447,24.1901
275,Fengyuan,,120.729061,24.255169
276,Xitun,,120.654264,24.169273
277,West,,120.657471,24.142711
278,Houli,2,120.722429,24.303062
279,Fengyuan,2,120.729458,24.252391
280,Taiping,24,120.718721,24.127615
281,Qingshui,,120.537656,24.268688
282,East,1,120.689209,24.143254
283,West,,120.657589,24.15302
284,Dali,9,120.669853,24.110557
285,Wuri,7,120.616219,24.110055
286,North,1,120.676668,24.152213
287,Qingshui,,120.549791,24.285255
288,Nantun,,120.633765,24.123642
289,East,1,120.70151,24.125407
290,Nantun,1,120.645662,24.134688
291,Shalu,2,120.556556,24.232455
292,North,2,120.691249,24.149796
293,Taiping,1,120.733568,24.118968
294,Fengyuan,,120.715791,24.25128
295,Longjing,,120.573203,24.188274
296,Dajia,,120.629748,24.353677
297,Beitun,1,120.691359,24.164956
298,Nantun,1,120.635213,24.151303
299,Dali,8,120.675418,24.102808
300,East,,120.697408,24.128629
301,Nantun,1,120.643823,24.153675
302,Wuqi,7,120.537012,24.251362
303,Nantun,,120.642191,24.13509
304,Daya,1,120.643401,24.228173
305,Xitun,,120.639653,24.158213
306,Shalu,7,120.573571,24.239053
307,Xitun,,120.624612,24.179231
308,Shalu,,120.561803,24.236821
309,Fengyuan,,120.722423,24.260487
310,Xitun,2,120.653258,24.160817
311,Longjing,1,120.543546,24.202309
312,Wuri,,120.606509,24.108492
313,Nantun,2,120.611863,24.135456
314,Wufeng,1,120.718851,24.07975
315,Nantun,,120.60966,24.138393
316,Xitun,,120.607796,24.195564
317,Taiping,,120.707645,24.111793
318,Beitun,,120.68847,24.201012
319,Xitun,,120.640839,24.173452
320,Xitun,2,120.640239,24.176293
321,Fengyuan,2,120.71563,24.251408
322,Xitun,,120.635879,24.181852
323,Dali,9,120.693053,24.104293
324,Fengyuan,,120.722209,24.249794
325,Beitun,,120.696194,24.200879
326,Qingshui,9,120.556475,24.272592
327,Shalu,8,120.552386,24.21615
328,Xitun,,120.648149,24.182959
329,Longjing,1,120.541618,24.186977
330,Shalu,9,120.56586,24.235623
331,North,2,120.679016,24.161664
332,Xitun,,120.607989,24.158196
333,Shalu,9,120.60199,24.240137
334,Shalu,,120.565829,24.204696
335,Nantun,,120.639485,24.142106
336,North,1,120.681059,24.158104
337,Shalu,,120.56049,24.239009
338,Central,,120.684698,24.140526
339,Xitun,19,120.65389,24.155776
340,North,,120.681078,24.161839
341,Shalu,9,120.590411,24.24452
342,Tanzi,,120.690099,24.215811
343,Nantun,1,120.646681,24.153613
344,North,,120.665865,24.154634
345,Xitun,1,120.648255,24.182783
346,West,,120.663884,24.157614
347,Dadu,7,120.563734,24.123722
348,Shalu,,120.572693,24.24167
349,Daya,,120.651689,24.22636
350,Houli,9,120.731541,24.337957
351,Nantun,9,120.640024,24.146935
352,Beitun,,120.716017,24.174872
353,Dali,1,120.667044,24.105244
354,Taiping,14,120.716614,24.15124
355,East,,120.701676,24.13172
356,Nantun,1,120.645068,24.132012
357,Xitun,7,120.616316,24.186132
358,Tanzi,,120.697972,24.196121
359,Nantun,1,120.604966,24.138894
360,Nantun,,120.607039,24.135683
361,Dali,1,120.6804,24.115042
362,Xitun,1,120.6481,24.169509
363,Beitun,,120.701111,24.167507
364,Beitun,1,120.718821,24.174542
365,Dajia,,120.622415,24.356502
366,Dali,2,120.665723,24.106165
367,Wuri,,120.654756,24.09978
368,Dali,,120.68797,24.094308
369,Taiping,,120.71324,24.159879
370,North,1,120.668262,24.156408
371,Qingshui,1,120.574806,24.267533
372,Xitun,,120.649796,24.162755
373,West,9,120.676104,24.13904
374,Nantun,,120.614727,24.144257
375,Xitun,2,120.615715,24.18922
376,North,1,120.696929,24.155306
377,Daya,8,120.636961,24.217376
378,Nantun,,120.634686,24.143965
379,North,1,120.685037,24.164996
380,Nantun,1,120.643867,24.136569
381,Beitun,,120.701831,24.182039
382,Xitun,,120.615864,24.180256
383,West,,120.677194,24.140149
384,Nantun,,120.620854,24.13999
385,Wufeng,1,120.701559,24.061939
386,Taiping,,120.736904,24.146668
387,Beitun,,120.668177,24.173388
388,North,,120.685731,24.16361
389,South,8,120.660395,24.123758
390,West,,120.673492,24.149454
391,Taiping,,120.715182,24.151509
392,Qingshui,,120.568748,24.273236
393,Nantun,,120.625537,24.144893
394,Dali,,120.694537,24.111655
395,North,2,120.686354,24.152437
396,Xitun,,120.609608,24.184261
397,Beitun,,120.667513,24.179744
398,Dajia,,120.60804,24.326358
399,Daya,,120.650462,24.219319
400,Taiping,,120.704415,24.159521
401,Beitun,,120.685496,24.173278
402,Xitun,,120.59479,24.190714
403,West,19,120.655118,24.153687
404,Longjing,,120.581803,24.182286
405,North,,120.682291,24.162969
406,Xitun,9,120.654763,24.156419
407,Beitun,1,120.688653,24.200858
408,Wufeng,7,120.699222,24.069024
409,East,1,120.685949,24.140137
410,South,1,120.652502,24.117636
411,Shalu,,120.567437,24.236988
412,Shigang,,120.803605,24.272758
413,Beitun,,120.685947,24.181316
414,Beitun,9,120.721108,24.178192
415,Taiping,9,120.717231,24.156626
416,Dajia,1,120.625036,24.344991
417,Xitun,,120.635172,24.179435
418,Fengyuan,,120.751471,24.270711
419,Xitun,,120.662314,24.200772
420,Tanzi,2,120.701468,24.207839
421,Taiping,9,120.709225,24.12804
422,Nantun,,120.633293,24.149159
423,Xitun,,120.654911,24.165202
424,Wufeng,,120.696746,24.069485
425,Beitun,19,120.702401,24.186508
426,Shalu,2,120.572728,24.21954
427,North,8,120.684111,24.157028
428,Da'an,8,120.602908,24.36177
429,West,,120.672782,24.14838
430,Beitun,1,120.710992,24.174791
431,Wuqi,9,120.535597,24.244045
432,Xitun,,120.614651,24.186052
433,North,1,120.697407,24.153966
434,West,1,120.665819,24.152132
435,South,7,120.661385,24.130294
436,North,,120.671383,24.173013
437,Tanzi,2,120.696579,24.194302
438,Xitun,,120.641018,24.167806
439,North,,120.687222,24.155287
440,North,,120.699473,24.157808
441,Beitun,1,120.690368,24.185454
442,South,9,120.678181,24.128536
443,Shalu,2,120.569618,24.240966
444,North,2,120.681381,24.155716
445,Houli,7,120.682073,24.315654
446,Nantun,,120.653733,24.141047
447,Wufeng,12,120.699171,24.068575
448,North,,120.686615,24.146199
449,South,,120.667627,24.126987
450,East,1,120.691794,24.133639
451,Beitun,19,120.685293,24.172222
452,Shalu,2,120.573777,24.22704
453,Shalu,1,120.576821,24.22549
454,Longjing,1,120.546154,24.194032
455,Beitun,,120.712485,24.172822
456,Beitun,1,120.722518,24.175556
457,Taiping,,120.716241,24.118816
458,Wufeng,1,120.67442,24.047136
459,North,,120.673429,24.16551
460,Wufeng,9,120.695062,24.026521
461,Beitun,,120.667001,24.179492
462,Xinshe,1,120.80342,24.226566
463,West,8,120.666227,24.13247
464,East,1,120.706013,24.141592
465,North,9,120.680484,24.164303
466,Shalu,1,120.567134,24.20771
467,Tanzi,,120.694238,24.21586
468,North,,120.695241,24.155819
469,Xitun,,120.63255,24.17295
470,Beitun,,120.692128,24.177303
471,Dadu,,120.579564,24.120487
472,West,2,120.650029,24.146714
473,Fengyuan,1,120.728739,24.224499
474,Daya,,120.644942,24.223864
475,Tanzi,1,120.70686,24.223881
476,North,,120.679004,24.14881
477,Xitun,9,120.631309,24.170636
478,South,,120.654686,24.121365
479,Beitun,1,120.722582,24.169713
480,South,9,120.648357,24.119476
481,Daya,,120.666714,24.218797
482,Xitun,1,120.644035,24.166572
483,Beitun,,120.695258,24.18342
484,Dali,9,120.699608,24.096429
485,Taiping,1,120.726726,24.124393
486,Fengyuan,1,120.712788,24.254596
487,East,,120.697039,24.149284
488,East,1,120.703636,24.140394
489,Tanzi,,120.696786,24.192388
490,Daya,2,120.628062,24.240427
491,Beitun,,120.723091,24.162035
492,Dadu,,120.574733,24.171966
493,Daya,2,120.625509,24.236607
494,Daya,,120.640385,24.249085
495,Wuri,,120.600486,24.110638
496,East,9,120.690126,24.135565
497,Xitun,,120.62904,24.163157
498,Xitun,,120.650278,24.171145
499,Taiping,1,120.723311,24.157227
500,South,1,120.661764,24.131457
501,Qingshui,7,120.564242,24.273919
502,Dadu,1,120.545786,24.149436
503,Xitun,,120.665918,24.176415
504,North,,120.685089,24.161558
505,East,1,120.693228,24.143131
506,Dali,,120.664565,24.089978
507,Longjing,,120.587629,24.181669
508,South,1,120.670752,24.114803
509,South,,120.649854,24.116423
510,Beitun,1,120.694058,24.164538
511,North,,120.677171,24.14962
512,Central,,120.678984,24.142109
513,Waipu,,120.653014,24.332152
514,Wuri,1,120.584206,24.112868
515,Taiping,9,120.71589,24.133154
516,Xitun,,120.598159,24.162982
517,Houli,2,120.704322,24.311928
518,Fengyuan,1,120.728656,24.276498
519,Longjing,9,120.563634,24.192895
520,Wufeng,9,120.687914,24.045709
521,Xitun,1,120.635019,24.172356
522,Longjing,,120.573869,24.185975
523,Houli,1,120.710503,24.304948
524,Kamioka,9,120.706051,24.260871
525,Dadu,9,120.569766,24.123642
526,Tanzi,,120.711122,24.227681
527,Beitun,9,120.699209,24.175925
528,Daya,1,120.653784,24.231071
529,Nantun,,120.636967,24.15118
530,North,1,120.686162,24.154775
531,Taiping,9,120.712796,24.115841
532,Fengyuan,,120.753334,24.263286
533,Taiping,9,120.7387,24.131261
534,Fengyuan,,120.713756,24.251059
535,Nantun,2,120.62339,24.1497
536,Fengyuan,1,120.724725,24.230527
537,Beitun,,120.667464,24.196681
538,South,1,120.678064,24.126535
539,Shalu,,120.561801,24.236853
540,Daya,,120.646449,24.226113
541,Xitun,1,120.637465,24.179054
542,Xitun,9,120.616809,24.190481
543,Dali,12,120.703173,24.089428
544,East,1,120.701511,24.138951
545,Xitun,,120.61408,24.186958
546,Xitun,,120.627131,24.187117
547,Wufeng,8,120.692988,24.044721
548,East,1,120.687858,24.13653
549,Dali,,120.691959,24.091585
550,Xitun,9,120.656699,24.160204
551,Wuqi,2,120.551202,24.25189
552,Shalu,,120.563567,24.205569
553,Fengyuan,1,120.726743,24.255768
554,Xitun,9,120.643985,24.200709
555,Fengyuan,,120.715783,24.244411
556,South,,120.679293,24.125653
557,Wuri,,120.614085,24.106776
558,Fengyuan,1,120.714655,24.248069
559,Kamioka,,120.682401,24.27137
560,Central,,120.679072,24.141736
561,West,,120.666927,24.153191
562,Nantun,9,120.624147,24.149373
563,Beitun,,120.686186,24.179651
564,Xitun,1,120.641244,24.156306
565,Xitun,,120.644616,24.171929
566,West,1,120.660948,24.148448
567,Xitun,21,120.62904,24.163157
568,Xitun,,120.661015,24.1639
569,Beitun,1,120.690124,24.164391
570,Beitun,,120.706947,24.189144
571,Shalu,,120.569563,24.237414
572,Shigang,,120.776481,24.276671
573,Nantun,9,120.644701,24.137902
574,Wufeng,1,120.691589,24.071083
575,West,8,120.660032,24.157062
576,North,,120.685395,24.152786
577,Taiping,,120.71663,24.157033
578,Beitun,9,120.703814,24.164617
579,Shalu,,120.564549,24.242234
580,Xitun,,120.646454,24.164454
581,Nantun,9,120.642627,24.147589
582,Dajia,,120.628583,24.350757
583,North,1,120.685574,24.153539
584,Beitun,,120.712636,24.172891
585,Wuri,,120.609074,24.105875
586,Shalu,,120.576357,24.224872
587,Beitun,9,120.705923,24.178218
588,Beitun,,120.661672,24.195105
589,Shigang,14,120.771056,24.275175
590,Xitun,9,120.654884,24.168926
591,West,,120.657594,24.148133
592,Longjing,,120.584764,24.180078
593,Nantun,,120.651262,24.136838
594,Tanzi,,120.678733,24.205784
595,East,,120.690726,24.139524
596,West,1,120.669792,24.143996
597,North,,120.68514,24.163346
598,North,,120.677171,24.14962
599,West,2,120.657261,24.139286
600,North,4,120.67566,24.159299
601,Dali,12,120.680592,24.109648
602,Beitun,,120.669443,24.177252
603,Kamioka,7,120.694922,24.234168
604,Wufeng,2,120.698753,24.064383
605,Shalu,,120.56228,24.240224
606,South,,120.66669,24.117903
607,Xitun,,120.645144,24.177268
608,Houli,,120.717624,24.304482
609,North,,120.684959,24.159118
610,Shalu,,120.559007,24.232589
611,North,2,120.682089,24.154584
612,North,1,120.683508,24.148272
613,Beitun,1,120.682231,24.183623
614,North,2,120.685887,24.155351
615,Wuri,,120.616844,24.116186
616,Taiping,1,120.716836,24.151505
617,Nantun,,120.646611,24.137653
618,Beitun,,120.684751,24.200932
619,West,,120.670798,24.145852
620,Dali,,120.692912,24.103545
621,Xitun,,120.643931,24.17579
622,Xitun,,120.639069,24.168932
623,North,,120.671742,24.173024
624,Xitun,1,120.641999,24.174324
625,Qingshui,,120.57972,24.272218
626,Waipu,,120.654768,24.330209
627,Nantun,1,120.636089,24.135923
628,Xitun,,120.641465,24.173057
629,Wuqi,,120.540915,24.261205
630,Wuqi,8,120.542547,24.247517
631,Beitun,,120.688208,24.181769
632,Beitun,,120.682921,24.188416
633,Nantun,2,120.642831,24.133242
634,Central,1,120.681796,24.144577
635,Xitun,,120.64499,24.172972
636,North,1,120.683622,24.142935
637,South,8,120.662205,24.113131
638,Taiping,1,120.719715,24.149161
639,Longjing,1,120.530447,24.18503
640,Xinshe,,120.808817,24.248476
641,East,2,120.690327,24.131789
642,Qingshui,12,120.568748,24.273236
643,Kamioka,1,120.655837,24.271688
644,Taiping,,120.720699,24.157006
645,Xitun,9,120.61478,24.180771
646,Beitun,1,120.687838,24.173097
647,West,,120.667119,24.13216
648,Nantun,5,120.630862,24.146619
649,Taiping,,120.709594,24.159219
650,Fengyuan,1,120.726853,24.238332
651,Daya,,120.642517,24.229021
652,North,,120.684657,24.152906
653,Kamioka,9,120.688691,24.259141
654,Taiping,,120.719433,24.125041
655,Taiping,9,120.716113,24.157133
656,Xitun,,120.642364,24.178048
657,Wuqi,9,120.552754,24.253081
658,Daya,,120.636098,24.228785
659,Tanzi,,120.707735,24.199454
660,Shalu,,120.57671,24.224373
661,North,8,120.685907,24.163211
662,Nantun,,120.630193,24.146756
663,Longjing,1,120.580208,24.189254
664,Daya,2,120.65093,24.20961
665,West,9,120.660678,24.143164
666,Dali,1,120.692946,24.090637
667,Xitun,1,120.646454,24.164454
668,Central,,120.683326,24.137163
669,Kamioka,1,120.673964,24.261213
670,Xinshe,9,120.795814,24.210736
671,Taiping,,120.716532,24.158744
672,Dajia,,120.616493,24.346646
673,Fengyuan,1,120.716753,24.244174
674,Wuqi,,120.556701,24.24265
675,Shigang,,120.816459,24.260227
676,Xitun,,120.641318,24.178384
677,Xitun,,120.624366,24.178455
678,Dali,1,120.691723,24.100535
679,Dali,9,120.693205,24.120133
680,Xitun,,120.643253,24.176809
681,Dali,,120.694774,24.111463
682,North,9,120.677156,24.150952
683,Beitun,,120.706467,24.174545
684,Fengyuan,8,120.742502,24.255755
685,North,2,120.68092,24.163032
686,Taiping,,120.708891,24.158736
687,West,2,120.673657,24.147902
688,Taiping,2,120.720816,24.13055
689,East,7,120.698847,24.142658
690,Daya,1,120.613962,24.215243
691,Taiping,9,120.808065,24.095749
692,Qingshui,1,120.566565,24.268398
693,West,,120.662609,24.155678
694,Xitun,,120.639071,24.159561
695,Shalu,,120.55891,24.234014
696,South,,120.666828,24.122352
697,South,1,120.655457,24.115199
698,Tanzi,2,120.710125,24.215289
699,North,,120.679933,24.15873
700,Beitun,,120.716378,24.173933
701,Wufeng,2,120.698812,24.06443
702,Kamioka,,120.699675,24.252765
703,Shalu,2,120.568595,24.242297
704,Fengyuan,,120.737155,24.25577
705,Xitun,7,120.646988,24.173684
706,North,1,120.681069,24.168519
707,Wufeng,,120.67362,24.051601
708,Xitun,,120.657252,24.196477
709,Wuri,1,120.640375,24.109952
710,Fengyuan,2,120.734512,24.238708
711,Xitun,1,120.643413,24.178482
712,Wuqi,,120.552469,24.257
713,Beitun,,120.720804,24.168689
714,Xitun,,120.642214,24.164294
715,Xinshe,9,120.798776,24.259724
716,West,,120.658169,24.151044
717,Beitun,1,120.697348,24.170656
718,Xitun,,120.63832,24.173306
719,Beitun,,120.677442,24.185682
720,Wuqi,,120.537628,24.249179
721,Xitun,,120.668096,24.177239
722,Shalu,9,120.550851,24.218885
723,Xitun,9,120.655164,24.168452
724,Wufeng,9,120.691964,24.06611
725,Dali,2,120.679443,24.115017
726,Daya,2,120.638093,24.233375
727,Wuri,1,120.648704,24.064988
728,West,,120.659627,24.148146
729,South,9,120.666847,24.117138
730,Longjing,,120.586314,24.181498
731,Fengyuan,,120.709279,24.253445
732,Fengyuan,1,120.718015,24.25329
733,Nantun,,120.639314,24.143874
734,North,,120.686022,24.152688
735,Dali,,120.682189,24.114963
736,Dali,1,120.690106,24.112515
737,Taiping,1,120.712672,24.125769
738,Tanzi,2,120.689249,24.225263
739,Wuri,7,120.618992,24.106492
740,Shalu,,120.560278,24.238548
741,Nantun,1,120.634433,24.155709
742,Xitun,1,120.649018,24.161562
743,Fengyuan,,120.725262,24.254928
744,Dali,9,120.68407,24.097254
745,Xitun,,120.643643,24.165818
746,West,,120.679077,24.1374
747,Nantun,19,120.649968,24.130773
748,Beitun,,120.715486,24.182309
749,Xitun,,120.636324,24.17098
750,Shalu,,120.562446,24.255727
751,North,2,120.69431,24.155639
752,Xitun,,120.615638,24.189341
753,Shalu,,120.574761,24.20826
754,Taiping,9,120.808065,24.095749
755,Shalu,9,120.575752,24.225742
756,Dongshi,9,120.800401,24.303186
757,Beitun,1,120.686467,24.18932
758,West,1,120.671407,24.152216
759,Dali,1,120.687891,24.094591
760,Nantun,,120.623414,24.113835
761,Tanzi,,120.696388,24.194169
762,North,,120.689527,24.146928
763,Xitun,1,120.655938,24.165527
764,Xitun,1,120.648309,24.17487
765,North,1,120.677068,24.148824
766,Xitun,1,120.645545,24.172416
767,Xitun,9,120.609633,24.185346
768,Wufeng,,120.696356,24.055376
769,Xinshe,,120.808172,24.243688
770,Xitun,1,120.651661,24.176014
771,Longjing,,120.592787,24.181897
772,Nantun,7,120.613163,24.139428
773,Dali,1,120.690538,24.092791
774,Nantun,1,120.635214,24.151302
