Accident_index,Year,Month,Day,Hour,Minute,Timestamp
365,2023,9,1,18,33,1693593180
366,2023,9,1,18,37,1693593420
367,2023,9,1,18,40,1693593600
368,2023,9,1,18,41,1693593660
369,2023,9,1,18,44,1693593840
370,2023,9,1,18,45,1693593900
371,2023,9,1,18,45,1693593900
372,2023,9,1,18,46,1693593960
373,2023,9,1,18,48,1693594080
374,2023,9,1,18,48,1693594080
375,2023,9,1,18,48,1693594080
376,2023,9,1,18,51,1693594260
377,2023,9,1,18,53,1693594380
378,2023,9,1,18,56,1693594560
379,2023,9,1,18,57,1693594620
380,2023,9,1,18,57,1693594620
381,2023,9,1,18,57,1693594620
382,2023,9,1,18,57,1693594620
383,2023,9,1,18,58,1693594680
384,2023,9,1,18,58,1693594680
385,2023,9,1,18,58,1693594680
386,2023,9,1,18,58,1693594680
387,2023,9,1,19,4,1693595040
388,2023,9,1,19,6,1693595160
389,2023,9,1,19,8,1693595280
390,2023,9,1,19,10,1693595400
391,2023,9,1,19,13,1693595580
392,2023,9,1,19,15,1693595700
393,2023,9,1,19,16,1693595760
394,2023,9,1,19,16,1693595760
395,2023,9,1,19,18,1693595880
396,2023,9,1,19,18,1693595880
397,2023,9,1,19,19,1693595940
398,2023,9,1,19,20,1693596000
399,2023,9,1,19,23,1693596180
400,2023,9,1,19,23,1693596180
401,2023,9,1,19,24,1693596240
402,2023,9,1,19,25,1693596300
403,2023,9,1,19,28,1693596480
404,2023,9,1,19,30,1693596600
405,2023,9,1,19,33,1693596780
406,2023,9,1,19,35,1693596900
407,2023,9,1,19,36,1693596960
408,2023,9,1,19,36,1693596960
409,2023,9,1,19,41,1693597260
410,2023,9,1,19,42,1693597320
411,2023,9,1,19,42,1693597320
412,2023,9,1,19,42,1693597320
413,2023,9,1,19,44,1693597440
414,2023,9,1,19,53,1693597980
415,2023,9,1,19,55,1693598100
416,2023,9,1,19,55,1693598100
417,2023,9,1,19,57,1693598220
418,2023,9,1,19,58,1693598280
419,2023,9,1,20,4,1693598640
420,2023,9,1,20,5,1693598700
421,2023,9,1,20,7,1693598820
422,2023,9,1,20,13,1693599180
423,2023,9,1,20,20,1693599600
424,2023,9,1,20,20,1693599600
425,2023,9,1,20,21,1693599660
426,2023,9,1,20,26,1693599960
427,2023,9,1,20,35,1693600500
428,2023,9,1,20,38,1693600680
429,2023,9,1,20,39,1693600740
430,2023,9,1,20,42,1693600920
431,2023,9,1,20,44,1693601040
432,2023,9,1,20,49,1693601340
433,2023,9,1,20,55,1693601700
434,2023,9,1,20,57,1693601820
435,2023,9,1,21,4,1693602240
436,2023,9,1,21,5,1693602300
437,2023,9,1,21,9,1693602540
438,2023,9,1,21,13,1693602780
439,2023,9,1,21,17,1693603020
440,2023,9,1,21,21,1693603260
441,2023,9,1,21,29,1693603740
442,2023,9,1,21,32,1693603920
443,2023,9,1,21,36,1693604160
444,2023,9,1,21,39,1693604340
445,2023,9,1,21,51,1693605060
446,2023,9,1,22,0,1693605600
447,2023,9,1,22,3,1693605780
448,2023,9,1,22,8,1693606080
449,2023,9,1,22,20,1693606800
450,2023,9,1,22,22,1693606920
451,2023,9,1,22,41,1693608060
452,2023,9,1,22,54,1693608840
453,2023,9,1,23,18,1693610280
454,2023,9,1,23,41,1693611660
455,2023,9,1,23,52,1693612320
456,2023,9,2,0,14,1693613640
457,2023,9,2,0,19,1693613940
458,2023,9,2,0,45,1693615500
459,2023,9,2,0,46,1693615560
460,2023,9,2,0,47,1693615620
461,2023,9,2,0,53,1693615980
462,2023,9,2,2,37,1693622220
463,2023,9,2,3,36,1693625760
464,2023,9,2,4,25,1693628700
465,2023,9,2,5,2,1693630920
466,2023,9,2,5,10,1693631400
467,2023,9,2,5,26,1693632360
468,2023,9,2,5,34,1693632840
469,2023,9,2,6,4,1693634640
470,2023,9,2,6,10,1693635000
471,2023,9,2,6,10,1693635000
472,2023,9,2,6,14,1693635240
473,2023,9,2,6,22,1693635720
474,2023,9,2,6,30,1693636200
475,2023,9,2,6,35,1693636500
476,2023,9,2,6,54,1693637640
477,2023,9,2,6,57,1693637820
478,2023,9,2,7,7,1693638420
479,2023,9,2,7,26,1693639560
480,2023,9,2,7,33,1693639980
481,2023,9,2,7,35,1693640100
482,2023,9,2,7,43,1693640580
483,2023,9,2,7,49,1693640940
484,2023,9,2,7,50,1693641000
485,2023,9,2,7,58,1693641480
486,2023,9,2,8,3,1693641780
487,2023,9,2,8,11,1693642260
488,2023,9,2,8,15,1693642500
489,2023,9,2,8,17,1693642620
490,2023,9,2,8,20,1693642800
491,2023,9,2,8,22,1693642920
492,2023,9,2,8,24,1693643040
493,2023,9,2,8,27,1693643220
494,2023,9,2,8,35,1693643700
495,2023,9,2,8,36,1693643760
496,2023,9,2,8,40,1693644000
497,2023,9,2,8,46,1693644360
498,2023,9,2,8,46,1693644360
499,2023,9,2,8,46,1693644360
500,2023,9,2,8,48,1693644480
501,2023,9,2,8,48,1693644480
502,2023,9,2,8,49,1693644540
503,2023,9,2,8,51,1693644660
504,2023,9,2,8,56,1693644960
505,2023,9,2,9,1,1693645260
506,2023,9,2,9,7,1693645620
507,2023,9,2,9,15,1693646100
508,2023,9,2,9,16,1693646160
509,2023,9,2,9,19,1693646340
510,2023,9,2,9,19,1693646340
511,2023,9,2,9,24,1693646640
512,2023,9,2,9,26,1693646760
513,2023,9,2,9,28,1693646880
514,2023,9,2,9,29,1693646940
515,2023,9,2,9,30,1693647000
516,2023,9,2,9,35,1693647300
517,2023,9,2,9,36,1693647360
518,2023,9,2,9,36,1693647360
519,2023,9,2,9,41,1693647660
520,2023,9,2,9,43,1693647780
521,2023,9,2,9,48,1693648080
522,2023,9,2,9,50,1693648200
523,2023,9,2,9,50,1693648200
524,2023,9,2,9,50,1693648200
525,2023,9,2,9,54,1693648440
526,2023,9,2,9,56,1693648560
527,2023,9,2,10,3,1693648980
528,2023,9,2,10,5,1693649100
529,2023,9,2,10,5,1693649100
530,2023,9,2,10,19,1693649940
531,2023,9,2,10,20,1693650000
532,2023,9,2,10,23,1693650180
533,2023,9,2,10,24,1693650240
534,2023,9,2,10,27,1693650420
535,2023,9,2,10,32,1693650720
536,2023,9,2,10,37,1693651020
537,2023,9,2,10,40,1693651200
538,2023,9,2,10,42,1693651320
539,2023,9,2,10,43,1693651380
540,2023,9,2,10,45,1693651500
541,2023,9,2,10,50,1693651800
542,2023,9,2,10,50,1693651800
543,2023,9,2,10,50,1693651800
544,2023,9,2,10,52,1693651920
545,2023,9,2,10,55,1693652100
546,2023,9,2,11,1,1693652460
547,2023,9,2,11,5,1693652700
548,2023,9,2,11,8,1693652880
549,2023,9,2,11,8,1693652880
550,2023,9,2,11,12,1693653120
551,2023,9,2,11,12,1693653120
552,2023,9,2,11,15,1693653300
553,2023,9,2,11,20,1693653600
554,2023,9,2,11,23,1693653780
555,2023,9,2,11,24,1693653840
556,2023,9,2,11,25,1693653900
557,2023,9,2,11,26,1693653960
558,2023,9,2,11,28,1693654080
559,2023,9,2,11,30,1693654200
560,2023,9,2,11,32,1693654320
561,2023,9,2,11,37,1693654620
562,2023,9,2,11,40,1693654800
563,2023,9,2,11,41,1693654860
564,2023,9,2,11,42,1693654920
565,2023,9,2,11,42,1693654920
566,2023,9,2,11,43,1693654980
567,2023,9,2,11,43,1693654980
568,2023,9,2,11,44,1693655040
569,2023,9,2,11,45,1693655100
570,2023,9,2,11,45,1693655100
571,2023,9,2,11,45,1693655100
572,2023,9,2,11,45,1693655100
573,2023,9,2,11,46,1693655160
574,2023,9,2,11,46,1693655160
575,2023,9,2,11,50,1693655400
576,2023,9,2,11,50,1693655400
577,2023,9,2,11,50,1693655400
578,2023,9,2,11,53,1693655580
579,2023,9,2,12,0,1693656000
580,2023,9,2,12,2,1693656120
581,2023,9,2,12,3,1693656180
582,2023,9,2,12,3,1693656180
583,2023,9,2,12,4,1693656240
584,2023,9,2,12,6,1693656360
585,2023,9,2,12,7,1693656420
586,2023,9,2,12,8,1693656480
587,2023,9,2,12,10,1693656600
588,2023,9,2,12,10,1693656600
589,2023,9,2,12,11,1693656660
590,2023,9,2,12,13,1693656780
591,2023,9,2,12,15,1693656900
592,2023,9,2,12,18,1693657080
593,2023,9,2,12,20,1693657200
594,2023,9,2,12,24,1693657440
595,2023,9,2,12,25,1693657500
596,2023,9,2,12,26,1693657560
597,2023,9,2,12,26,1693657560
598,2023,9,2,12,27,1693657620
599,2023,9,2,12,28,1693657680
600,2023,9,2,12,28,1693657680
601,2023,9,2,12,30,1693657800
602,2023,9,2,12,32,1693657920
603,2023,9,2,12,35,1693658100
604,2023,9,2,12,40,1693658400
605,2023,9,2,12,40,1693658400
606,2023,9,2,12,45,1693658700
607,2023,9,2,12,45,1693658700
608,2023,9,2,12,45,1693658700
609,2023,9,2,12,49,1693658940
610,2023,9,2,12,50,1693659000
611,2023,9,2,12,51,1693659060
612,2023,9,2,12,58,1693659480
613,2023,9,2,12,58,1693659480
614,2023,9,2,12,59,1693659540
615,2023,9,2,12,59,1693659540
616,2023,9,2,13,9,1693660140
617,2023,9,2,13,11,1693660260
618,2023,9,2,13,12,1693660320
619,2023,9,2,13,20,1693660800
620,2023,9,2,13,20,1693660800
621,2023,9,2,13,21,1693660860
622,2023,9,2,13,25,1693661100
623,2023,9,2,13,26,1693661160
624,2023,9,2,13,30,1693661400
625,2023,9,2,13,30,1693661400
626,2023,9,2,13,30,1693661400
627,2023,9,2,13,31,1693661460
628,2023,9,2,13,40,1693662000
629,2023,9,2,13,40,1693662000
630,2023,9,2,13,41,1693662060
631,2023,9,2,13,42,1693662120
632,2023,9,2,13,42,1693662120
633,2023,9,2,13,46,1693662360
634,2023,9,2,13,52,1693662720
635,2023,9,2,13,54,1693662840
636,2023,9,2,13,55,1693662900
637,2023,9,2,13,57,1693663020
638,2023,9,2,13,58,1693663080
639,2023,9,2,14,2,1693663320
640,2023,9,2,14,2,1693663320
641,2023,9,2,14,5,1693663500
642,2023,9,2,14,5,1693663500
643,2023,9,2,14,6,1693663560
644,2023,9,2,14,7,1693663620
645,2023,9,2,14,10,1693663800
646,2023,9,2,14,15,1693664100
647,2023,9,2,14,18,1693664280
648,2023,9,2,14,23,1693664580
649,2023,9,2,14,23,1693664580
650,2023,9,2,14,24,1693664640
651,2023,9,2,14,28,1693664880
652,2023,9,2,14,30,1693665000
653,2023,9,2,14,31,1693665060
654,2023,9,2,14,40,1693665600
655,2023,9,2,14,42,1693665720
656,2023,9,2,14,44,1693665840
657,2023,9,2,14,44,1693665840
658,2023,9,2,14,45,1693665900
659,2023,9,2,14,49,1693666140
660,2023,9,2,14,49,1693666140
661,2023,9,2,14,54,1693666440
662,2023,9,2,14,54,1693666440
663,2023,9,2,14,55,1693666500
664,2023,9,2,15,3,1693666980
665,2023,9,2,15,6,1693667160
666,2023,9,2,15,10,1693667400
667,2023,9,2,15,15,1693667700
668,2023,9,2,15,21,1693668060
669,2023,9,2,15,22,1693668120
670,2023,9,2,15,26,1693668360
671,2023,9,2,15,27,1693668420
672,2023,9,2,15,27,1693668420
673,2023,9,2,15,29,1693668540
674,2023,9,2,15,31,1693668660
675,2023,9,2,15,32,1693668720
676,2023,9,2,15,34,1693668840
677,2023,9,2,15,35,1693668900
678,2023,9,2,15,38,1693669080
679,2023,9,2,15,40,1693669200
680,2023,9,2,15,45,1693669500
681,2023,9,2,15,45,1693669500
682,2023,9,2,15,48,1693669680
683,2023,9,2,15,50,1693669800
684,2023,9,2,15,53,1693669980
685,2023,9,2,15,54,1693670040
686,2023,9,2,16,0,1693670400
687,2023,9,2,16,3,1693670580
688,2023,9,2,16,4,1693670640
689,2023,9,2,16,8,1693670880
690,2023,9,2,16,10,1693671000
691,2023,9,2,16,11,1693671060
692,2023,9,2,16,15,1693671300
693,2023,9,2,16,16,1693671360
694,2023,9,2,16,20,1693671600
695,2023,9,2,16,21,1693671660
696,2023,9,2,16,22,1693671720
697,2023,9,2,16,25,1693671900
698,2023,9,2,16,27,1693672020
699,2023,9,2,16,27,1693672020
700,2023,9,2,16,28,1693672080
701,2023,9,2,16,30,1693672200
702,2023,9,2,16,30,1693672200
703,2023,9,2,16,34,1693672440
704,2023,9,2,16,44,1693673040
705,2023,9,2,16,45,1693673100
706,2023,9,2,16,50,1693673400
707,2023,9,2,16,59,1693673940
708,2023,9,2,17,3,1693674180
709,2023,9,2,17,5,1693674300
710,2023,9,2,17,6,1693674360
711,2023,9,2,17,8,1693674480
712,2023,9,2,17,8,1693674480
713,2023,9,2,17,11,1693674660
714,2023,9,2,17,11,1693674660
715,2023,9,2,17,16,1693674960
716,2023,9,2,17,23,1693675380
717,2023,9,2,17,23,1693675380
718,2023,9,2,17,26,1693675560
719,2023,9,2,17,28,1693675680
720,2023,9,2,17,29,1693675740
721,2023,9,2,17,30,1693675800
722,2023,9,2,17,31,1693675860
723,2023,9,2,17,32,1693675920
724,2023,9,2,17,35,1693676100
725,2023,9,2,17,41,1693676460
726,2023,9,2,17,45,1693676700
727,2023,9,2,17,48,1693676880
728,2023,9,2,17,53,1693677180
729,2023,9,2,17,53,1693677180
730,2023,9,2,17,56,1693677360
731,2023,9,2,17,56,1693677360
732,2023,9,2,17,57,1693677420
733,2023,9,2,17,58,1693677480
734,2023,9,2,18,1,1693677660
735,2023,9,2,18,5,1693677900
736,2023,9,2,18,10,1693678200
737,2023,9,2,18,12,1693678320
738,2023,9,2,18,15,1693678500
739,2023,9,2,18,15,1693678500
740,2023,9,2,18,15,1693678500
741,2023,9,2,18,17,1693678620
742,2023,9,2,18,19,1693678740
743,2023,9,2,18,21,1693678860
744,2023,9,2,18,23,1693678980
745,2023,9,2,18,26,1693679160
746,2023,9,2,18,33,1693679580
747,2023,9,2,18,35,1693679700
748,2023,9,2,18,36,1693679760
749,2023,9,2,18,45,1693680300
750,2023,9,2,18,46,1693680360
751,2023,9,2,18,56,1693680960
752,2023,9,2,18,56,1693680960
753,2023,9,2,18,57,1693681020
754,2023,9,2,19,0,1693681200
755,2023,9,2,19,4,1693681440
756,2023,9,2,19,7,1693681620
757,2023,9,2,19,8,1693681680
758,2023,9,2,19,24,1693682640
759,2023,9,2,19,33,1693683180
760,2023,9,2,19,40,1693683600
761,2023,9,2,19,41,1693683660
762,2023,9,2,19,42,1693683720
763,2023,9,2,19,43,1693683780
764,2023,9,2,19,49,1693684140
765,2023,9,2,19,50,1693684200
766,2023,9,2,19,52,1693684320
767,2023,9,2,19,54,1693684440
768,2023,9,2,19,56,1693684560
769,2023,9,2,19,57,1693684620
770,2023,9,2,19,59,1693684740
771,2023,9,2,20,11,1693685460
772,2023,9,2,20,15,1693685700
773,2023,9,2,20,16,1693685760
774,2023,9,2,20,19,1693685940
