Accident_index,Road_category,Speed_limit,Road_type,Pavement,Road_defect,Signal_type,GPS_X,GPS_Y
358,6,50,,,,,120.697972,24.196121
359,6,50,3,1,4,4,120.604966,24.138894
360,6,50,,,,,120.607039,24.135683
361,6,50,5,1,4,3,120.6804,24.115042
362,6,50,4,1,4,2,120.6481,24.169509
363,6,30,,,,,120.701111,24.167507
364,6,50,4,1,4,2,120.718821,24.174542
365,6,60,,,,,120.622415,24.356502
366,6,60,4,1,4,2,120.665723,24.106165
367,6,30,,,,,120.654756,24.09978
368,6,50,,,,,120.68797,24.094308
369,6,50,,,,,120.71324,24.159879
370,6,50,4,1,4,1,120.668262,24.156408
371,6,50,4,1,4,2,120.574806,24.267533
372,6,50,,,,,120.649796,24.162755
373,6,50,13,1,4,4,120.676104,24.13904
374,6,50,,,,,120.614727,24.144257
375,6,50,4,1,4,2,120.615715,24.18922
376,6,50,4,1,4,4,120.696929,24.155306
377,6,50,13,1,4,4,120.636961,24.217376
378,6,50,,,,,120.634686,24.143965
379,6,50,4,1,4,1,120.685037,24.164996
380,6,50,4,1,4,4,120.643867,24.136569
381,6,50,,,,,120.701831,24.182039
382,6,30,,,,,120.615864,24.180256
383,6,50,,,,,120.677194,24.140149
384,6,50,,,,,120.620854,24.13999
385,6,50,3,4,4,4,120.701559,24.061939
386,6,30,,,,,120.736904,24.146668
387,6,50,,,,,120.668177,24.173388
388,6,30,,,,,120.685731,24.16361
389,6,50,13,1,4,4,120.660395,24.123758
390,6,50,,,,,120.673492,24.149454
391,6,40,,,,,120.715182,24.151509
392,6,70,,,,,120.568748,24.273236
393,6,50,,,,,120.625537,24.144893
394,6,50,,,,,120.694537,24.111655
395,6,50,4,1,4,2,120.686354,24.152437
396,6,70,,,,,120.609608,24.184261
397,6,50,,,,,120.667513,24.179744
398,6,70,,,,,120.60804,24.326358
399,6,50,,,,,120.650462,24.219319
400,6,50,,,,,120.704415,24.159521
401,6,50,,,,,120.685496,24.173278
402,6,50,,,,,120.59479,24.190714
403,6,50,4,1,4,2,120.655118,24.153687
404,6,50,,,,,120.581803,24.182286
405,6,50,,,,,120.682291,24.162969
406,6,50,13,1,4,4,120.654763,24.156419
407,6,50,3,1,4,4,120.688653,24.200858
408,6,50,13,1,4,4,120.699222,24.069024
409,6,50,4,1,4,1,120.685949,24.140137
410,6,50,5,1,4,1,120.652502,24.117636
411,6,50,,,,,120.567437,24.236988
412,6,30,,,,,120.803605,24.272758
413,6,50,,,,,120.685947,24.181316
414,6,50,13,1,4,2,120.721108,24.178192
415,6,80,13,1,4,4,120.717231,24.156626
416,6,50,4,1,4,4,120.625036,24.344991
417,6,50,,,,,120.635172,24.179435
418,6,50,,,,,120.751471,24.270711
419,6,30,,,,,120.662314,24.200772
420,6,50,4,1,4,4,120.701468,24.207839
421,6,50,13,1,4,4,120.709225,24.12804
422,6,50,,,,,120.633293,24.149159
423,6,30,,,,,120.654911,24.165202
424,6,60,,,,,120.696746,24.069485
425,6,50,4,1,4,2,120.702401,24.186508
426,6,50,4,1,4,4,120.572728,24.21954
427,6,50,11,1,4,4,120.684111,24.157028
428,6,50,13,1,4,4,120.602908,24.36177
429,6,50,,,,,120.672782,24.14838
430,6,50,5,1,4,2,120.710992,24.174791
431,6,50,13,1,4,4,120.535597,24.244045
432,6,50,,,,,120.614651,24.186052
433,6,50,4,1,4,4,120.697407,24.153966
434,6,50,3,1,4,4,120.665819,24.152132
435,6,50,13,1,4,4,120.661385,24.130294
436,6,50,,,,,120.671383,24.173013
437,6,50,4,1,4,1,120.696579,24.194302
438,6,50,,,,,120.641018,24.167806
439,6,40,,,,,120.687222,24.155287
440,6,40,,,,,120.699473,24.157808
441,6,50,4,1,4,2,120.690368,24.185454
442,6,50,13,1,4,4,120.678181,24.128536
443,6,50,5,1,4,4,120.569618,24.240966
444,6,50,3,1,4,4,120.681381,24.155716
445,6,50,5,1,4,1,120.682073,24.315654
446,6,50,,,,,120.653733,24.141047
447,6,50,13,1,4,1,120.699171,24.068575
448,6,50,,,,,120.686615,24.146199
449,6,50,,,,,120.667627,24.126987
450,6,50,3,1,4,1,120.691794,24.133639
451,6,50,4,1,4,2,120.685293,24.172222
452,6,50,3,1,4,4,120.573777,24.22704
453,6,60,3,1,4,2,120.576821,24.22549
454,6,50,3,1,4,3,120.546154,24.194032
455,6,50,,,,,120.712485,24.172822
456,6,50,4,1,4,4,120.722518,24.175556
457,6,50,,,,,120.716241,24.118816
458,6,50,3,1,4,4,120.67442,24.047136
459,6,40,,,,,120.673429,24.16551
460,6,30,13,1,4,4,120.695062,24.026521
461,6,30,,,,,120.667001,24.179492
462,6,50,4,1,4,3,120.80342,24.226566
463,6,40,13,1,4,4,120.666227,24.13247
464,6,50,4,1,4,3,120.706013,24.141592
465,6,30,13,1,4,4,120.680484,24.164303
466,6,50,4,1,4,4,120.567134,24.20771
467,6,40,,,,,120.694238,24.21586
468,6,50,,,,,120.695241,24.155819
469,6,30,,,,,120.63255,24.17295
470,6,30,,,,,120.692128,24.177303
471,6,30,,,,,120.579564,24.120487
472,6,50,4,4,4,4,120.650029,24.146714
473,6,30,3,1,4,4,120.728739,24.224499
474,6,30,,,,,120.644942,24.223864
475,6,60,3,1,4,2,120.70686,24.223881
476,6,50,,,,,120.679004,24.14881
477,6,50,13,1,4,4,120.631309,24.170636
478,6,,,,,,120.654686,24.121365
479,6,50,4,1,4,1,120.722582,24.169713
480,6,50,13,1,4,4,120.648357,24.119476
481,6,40,,,,,120.666714,24.218797
482,6,50,4,1,4,1,120.644035,24.166572
483,6,50,,,,,120.695258,24.18342
484,6,30,4,1,4,4,120.699608,24.096429
485,6,50,4,1,4,2,120.726726,24.124393
486,6,50,3,1,4,4,120.712788,24.254596
487,6,30,,,,,120.697039,24.149284
488,6,50,4,1,4,1,120.703636,24.140394
489,6,50,,,,,120.696786,24.192388
490,6,50,3,1,4,4,120.628062,24.240427
491,6,50,,,,,120.723091,24.162035
492,6,30,,,,,120.574733,24.171966
493,6,50,3,1,4,4,120.625509,24.236607
494,6,50,,,,,120.640385,24.249085
495,6,70,,,,,120.600486,24.110638
496,6,50,13,1,4,4,120.690126,24.135565
497,6,40,,,,,120.62904,24.163157
498,6,50,,,,,120.650278,24.171145
499,6,50,4,1,4,1,120.723311,24.157227
500,6,50,4,1,4,1,120.661764,24.131457
501,6,50,13,1,4,4,120.564242,24.273919
502,6,50,5,1,4,4,120.545786,24.149436
503,6,30,,,,,120.665918,24.176415
504,6,50,,,,,120.685089,24.161558
505,6,30,4,1,4,4,120.693228,24.143131
506,6,70,,,,,120.664565,24.089978
507,6,30,,,,,120.587629,24.181669
508,6,50,4,1,4,1,120.670752,24.114803
509,6,50,,,,,120.649854,24.116423
510,6,50,3,1,4,4,120.694058,24.164538
511,6,50,,,,,120.677171,24.14962
512,6,56,,,,,120.678984,24.142109
513,6,50,,,,,120.653014,24.332152
514,6,40,4,1,4,1,120.584206,24.112868
515,6,30,13,1,4,4,120.71589,24.133154
516,6,50,,,,,120.598159,24.162982
517,6,50,11,1,4,1,120.704322,24.311928
518,6,50,4,1,4,1,120.728656,24.276498
519,6,50,13,1,4,4,120.563634,24.192895
520,6,40,13,1,4,4,120.687914,24.045709
521,6,50,4,1,4,2,120.635019,24.172356
522,6,50,,,,,120.573869,24.185975
523,6,50,4,1,4,1,120.710503,24.304948
524,6,50,13,1,4,4,120.706051,24.260871
525,6,30,13,1,4,4,120.569766,24.123642
526,6,50,,,,,120.711122,24.227681
527,6,50,13,1,4,2,120.699209,24.175925
528,6,50,4,1,4,1,120.653784,24.231071
529,6,50,,,,,120.636967,24.15118
530,6,50,5,1,4,1,120.686162,24.154775
531,6,30,13,1,4,4,120.712796,24.115841
532,6,40,,,,,120.753334,24.263286
533,6,40,13,1,4,4,120.7387,24.131261
534,6,40,,,,,120.713756,24.251059
535,6,50,4,1,4,2,120.62339,24.1497
536,6,40,4,1,4,1,120.724725,24.230527
537,6,40,,,,,120.667464,24.196681
538,6,50,5,1,4,4,120.678064,24.126535
539,6,50,,,,,120.561801,24.236853
540,6,50,,,,,120.646449,24.226113
541,6,50,4,1,4,2,120.637465,24.179054
542,6,30,13,1,4,4,120.616809,24.190481
543,6,50,13,1,4,4,120.703173,24.089428
544,6,40,4,1,4,2,120.701511,24.138951
545,6,50,,,,,120.61408,24.186958
546,6,30,,,,,120.627131,24.187117
547,6,50,13,1,4,4,120.692988,24.044721
548,6,50,4,1,4,2,120.687858,24.13653
549,6,50,,,,,120.691959,24.091585
550,6,50,13,1,4,1,120.656699,24.160204
551,6,50,3,1,4,4,120.551202,24.25189
552,6,50,,,,,120.563567,24.205569
553,6,50,4,1,4,1,120.726743,24.255768
554,6,50,13,1,4,4,120.643985,24.200709
555,6,50,,,,,120.715783,24.244411
556,6,50,,,,,120.679293,24.125653
557,6,60,,,,,120.614085,24.106776
558,6,50,3,1,4,4,120.714655,24.248069
559,6,30,,,,,120.682401,24.27137
560,6,50,,,,,120.679072,24.141736
561,6,50,,,,,120.666927,24.153191
562,6,50,13,1,4,4,120.624147,24.149373
563,6,40,,,,,120.686186,24.179651
564,6,50,3,1,4,4,120.641244,24.156306
565,6,50,,,,,120.644616,24.171929
566,6,30,4,1,4,4,120.660948,24.148448
567,6,0,3,1,4,4,120.62904,24.163157
568,6,40,,,,,120.661015,24.1639
569,6,30,4,1,4,4,120.690124,24.164391
570,6,50,,,,,120.706947,24.189144
571,6,50,,,,,120.569563,24.237414
572,6,50,,,,,120.776481,24.276671
573,6,50,13,1,4,4,120.644701,24.137902
574,6,50,3,1,4,1,120.691589,24.071083
575,6,40,13,1,4,4,120.660032,24.157062
576,6,50,,,,,120.685395,24.152786
577,6,50,,,,,120.71663,24.157033
578,6,50,13,1,4,4,120.703814,24.164617
579,6,50,,,,,120.564549,24.242234
580,6,40,,,,,120.646454,24.164454
581,6,40,13,1,4,4,120.642627,24.147589
582,6,30,,,,,120.628583,24.350757
583,6,50,4,1,4,1,120.685574,24.153539
584,6,50,,,,,120.712636,24.172891
585,6,50,,,,,120.609074,24.105875
586,6,50,,,,,120.576357,24.224872
587,6,50,13,1,4,4,120.705923,24.178218
588,6,50,,,,,120.661672,24.195105
589,6,70,13,1,4,4,120.771056,24.275175
590,6,50,13,1,4,4,120.654884,24.168926
591,6,50,,,,,120.657594,24.148133
592,6,30,,,,,120.584764,24.180078
593,6,30,,,,,120.651262,24.136838
594,6,50,,,,,120.678733,24.205784
595,6,50,,,,,120.690726,24.139524
596,6,50,4,1,4,2,120.669792,24.143996
597,6,40,,,,,120.68514,24.163346
598,6,50,,,,,120.677171,24.14962
599,6,50,4,1,4,1,120.657261,24.139286
600,6,50,4,1,4,2,120.67566,24.159299
601,6,50,13,1,4,4,120.680592,24.109648
602,6,50,,,,,120.669443,24.177252
603,6,50,13,1,4,4,120.694922,24.234168
604,6,50,4,4,4,4,120.698753,24.064383
605,6,50,,,,,120.56228,24.240224
606,6,50,,,,,120.66669,24.117903
607,6,50,,,,,120.645144,24.177268
608,6,50,,,,,120.717624,24.304482
609,6,40,,,,,120.684959,24.159118
610,6,50,,,,,120.559007,24.232589
611,6,50,4,1,4,1,120.682089,24.154584
612,6,50,4,1,4,1,120.683508,24.148272
613,6,50,4,1,4,3,120.682231,24.183623
614,6,50,3,1,4,4,120.685887,24.155351
615,6,50,,,,,120.616844,24.116186
616,6,50,4,1,4,1,120.716836,24.151505
617,6,50,,,,,120.646611,24.137653
618,6,50,,,,,120.684751,24.200932
619,6,50,,,,,120.670798,24.145852
620,6,80,,,,,120.692912,24.103545
621,6,50,,,,,120.643931,24.17579
622,6,50,,,,,120.639069,24.168932
623,6,50,,,,,120.671742,24.173024
624,6,50,3,1,4,4,120.641999,24.174324
625,6,30,,,,,120.57972,24.272218
626,6,30,,,,,120.654768,24.330209
627,6,50,3,1,4,4,120.636089,24.135923
628,6,50,,,,,120.641465,24.173057
629,6,50,,,,,120.540915,24.261205
