Accident_index,Climate,Light,Road_condition,Protective_equipement,Action_status,Drinking_situation,Impact_site,Run_away
64,7,,,,,2,,1
65,7,2,5,2,6,2,11,1
66,7,,,,,1,,1
67,7,,,,,2,,1
68,7,,,,,2,,1
69,7,,,,,1,,1
70,7,3,5,3,9,1,1,1
71,7,2,5,1,6,2,11,1
72,7,,,,,1,,1
73,7,,,,,1,,1
74,7,3,5,,,1,,1
75,7,1,5,3,11,2,4,1
76,7,1,5,5,9,2,14,1
77,7,3,5,5,6,2,11,1
78,7,3,5,5,5,2,16,1
79,7,2,,,,2,11,1
80,7,,,,,1,,1
81,7,2,5,3,1,2,4,1
82,7,2,5,1,9,9,11,1
83,7,,,5,9,2,3,1
84,7,,,,,2,,1
85,7,2,5,1,11,2,11,1
86,7,2,5,1,9,2,12,1
87,7,2,5,1,9,2,11,1
88,7,3,5,1,1,2,14,1
89,7,2,5,1,6,2,14,1
90,7,,,,,1,,1
91,7,2,5,2,9,7,15,1
92,7,2,5,1,6,2,12,1
93,7,2,5,3,7,2,5,1
94,7,3,5,5,5,2,14,1
95,7,,,,,1,,1
96,7,,,,,1,,1
97,7,,,,,2,,1
98,7,,,,,2,,1
99,7,,,,,2,,1
100,7,2,5,,,1,,1
101,7,2,5,1,9,2,11,1
102,7,,,,,2,,1
103,7,,,,,9,,1
104,7,2,5,3,6,2,2,1
105,7,2,5,1,5,2,14,1
106,7,,,,,2,,1
107,7,1,5,3,5,2,2,1
108,7,,,,,1,,1
109,7,,,,,1,,1
110,7,,,,,2,,1
111,7,3,5,3,6,2,8,1
112,7,,,,,9,,1
113,6,2,5,1,1,2,14,1
114,7,,,,,2,,1
115,7,3,5,3,5,2,7,1
116,7,2,5,3,5,2,6,1
117,7,2,5,1,1,2,13,1
118,7,2,5,3,6,2,8,1
119,7,,,,,1,,1
120,7,3,5,3,9,2,5,1
121,7,2,5,3,9,2,5,1
122,7,,,,,9,,1
123,7,,,,,2,,1
124,7,,,,,2,,1
125,7,1,5,5,9,2,11,1
126,7,,,,,2,,1
127,7,,,,,1,,1
128,7,3,5,3,11,2,5,1
129,7,3,5,1,9,2,11,1
130,7,,,,,11,,1
131,7,3,5,1,6,2,14,1
132,7,3,5,3,15,2,4,1
133,7,2,5,3,14,2,2,1
134,6,2,5,1,9,2,12,1
135,7,3,5,6,9,2,11,1
136,7,3,5,3,6,2,1,1
137,7,,,,,1,,1
138,7,3,5,5,5,2,6,1
139,7,2,5,1,7,2,13,1
140,7,,,,,2,,1
141,7,3,5,5,1,2,14,1
142,7,,,,,9,,1
143,7,,,,,1,,1
144,6,3,5,3,5,2,6,1
145,7,2,5,1,12,2,11,1
146,7,3,5,3,7,2,1,1
147,7,,,,,1,,1
148,7,,,,,1,,1
149,6,2,5,2,9,1,11,1
150,7,2,5,3,9,2,2,1
151,7,,,,,1,,1
152,7,,,,,1,,1
153,7,2,5,1,9,2,11,1
154,7,,,,,2,,1
155,5,2,4,3,5,2,2,1
156,7,1,5,5,1,2,11,1
157,7,3,5,1,12,2,12,1
158,5,2,4,1,9,2,11,1
159,7,2,5,3,1,1,8,1
160,7,,,,,2,,1
161,5,2,4,1,12,2,14,1
162,7,3,5,1,6,2,12,1
163,7,3,5,3,9,2,2,1
164,5,3,4,1,9,1,14,1
165,7,2,5,1,9,2,13,1
166,7,1,5,3,6,2,7,1
167,6,2,5,3,5,2,5,1
168,5,,,,,1,,1
169,5,,,,,1,,1
170,7,2,5,1,9,2,12,1
171,5,2,4,1,5,2,14,1
172,5,,,,,1,,1
173,7,2,5,1,9,2,12,1
174,7,3,5,1,9,2,11,1
175,7,,,,,9,,1
176,7,,,,,1,,1
177,7,,,,,1,,1
178,7,3,5,1,9,2,14,1
179,7,,,,,2,,1
180,7,2,5,2,1,2,14,1
181,7,2,5,1,9,1,14,1
182,7,,,,,2,,1
183,7,,,,,1,,1
184,5,2,4,2,9,2,11,1
185,7,2,5,3,9,2,5,1
186,7,,,,,9,,1
187,6,2,5,5,9,2,15,1
188,7,,,,,2,,1
189,7,2,5,5,9,2,15,1
190,7,,,,,1,,1
191,5,3,4,1,9,2,11,1
192,7,,,,,1,,1
193,7,2,5,2,9,2,12,1
194,7,3,5,1,9,2,11,1
195,7,3,5,2,9,2,11,1
196,7,3,5,2,9,2,11,1
197,7,,,,,1,,1
198,5,,,,,2,,1
199,7,3,5,3,5,2,2,1
200,6,2,4,3,5,2,2,1
201,7,,,,,1,,1
202,7,3,5,5,9,2,14,1
203,7,2,5,1,9,2,14,1
204,7,,,,,2,,1
205,7,,,,,1,,1
206,5,,,,,1,,1
207,7,,,,,2,,1
208,7,,,,,1,,1
209,7,,,,,1,,1
210,7,,,,,2,,1
211,6,3,5,3,9,2,1,1
212,6,1,5,2,9,7,11,1
213,6,2,5,1,9,2,11,1
214,7,,,,,9,,1
215,5,2,4,3,5,2,5,1
216,7,3,5,3,6,2,2,1
217,7,,,,,2,,1
218,5,2,4,2,1,2,16,1
219,7,2,5,2,1,2,11,1
220,5,,,,,1,,1
221,5,3,4,1,9,1,12,1
222,5,,,,,1,,1
223,5,,,,,2,,1
224,5,2,4,1,9,2,11,1
225,5,2,4,3,11,2,16,1
226,7,,,,,2,,1
227,7,,,,,9,,1
228,7,2,5,3,6,2,8,1
229,5,,,,,2,,1
230,6,3,5,3,5,2,6,1
231,5,,,,,1,,1
232,5,,,,,1,,1
233,5,,,,,2,,1
234,7,3,5,1,9,2,11,1
235,5,,,,,2,,1
236,5,3,4,5,8,2,14,1
237,5,,,,,1,,1
238,5,,,,,9,,1
239,5,,,,,2,,1
240,5,2,4,3,5,1,2,1
241,7,,,,,1,,1
242,5,2,4,3,9,2,4,1
243,5,,,,,1,,1
244,5,,,,,2,,1
245,5,3,4,1,6,2,14,1
246,5,,,,,10,,1
247,5,,,,,3,,1
248,5,3,4,3,5,2,2,1
249,5,2,4,2,15,2,12,1
250,6,2,4,1,9,2,11,1
251,5,,,,,1,,1
252,7,2,5,3,6,2,8,1
253,5,,,,,1,,1
254,5,,,,,2,,1
255,5,,,,,2,,1
256,7,,,,,2,,1
257,5,3,4,3,5,2,6,1
258,7,,,,,2,,1
259,5,3,4,5,13,2,4,1
260,7,,,,,2,,1
261,6,2,4,3,11,2,8,1
262,5,2,4,2,9,2,11,1
263,5,,,,,1,,1
264,5,,,,,2,,1
265,5,3,4,3,5,2,2,1
266,5,,,,,1,,1
267,5,,,,,2,,1
268,7,2,4,5,11,2,4,1
269,5,,,,,2,,1
270,7,,,,,2,,1
271,5,,,,,1,,1
272,7,2,5,2,9,2,12,1
273,7,,,,,2,,1
274,7,,,,,1,,1
275,7,,,,,2,,1
276,7,,,,,1,,1
277,5,,,,,,,1
278,5,2,4,3,11,2,6,1
279,7,1,5,1,6,2,12,1
280,6,2,5,1,9,1,11,1
281,5,,,,,2,,1
282,5,2,4,1,6,2,14,1
283,5,,,,,1,,1
284,7,3,5,5,2,2,3,1
285,7,2,5,3,9,2,1,1
286,6,3,4,2,6,2,14,1
287,5,,,,,2,,1
288,7,,,,,1,,1
289,5,2,4,3,9,2,2,1
290,5,3,4,2,11,2,12,1
291,5,2,4,5,6,9,16,2
292,5,2,4,3,6,2,4,1
293,5,2,4,1,6,2,14,1
294,7,,,,,2,,1
295,7,,,,,2,,1
296,5,,,,,1,,1
297,6,2,4,1,9,2,14,1
298,6,3,5,2,9,2,11,1
299,6,3,5,1,9,2,11,1
300,5,,,,,2,,1
301,6,2,4,3,6,2,2,1
302,5,1,4,5,9,2,15,1
303,5,,,,,2,,1
304,7,3,5,3,5,2,4,1
305,5,,,,,1,,1
306,6,3,4,3,15,2,5,1
307,7,,,,,1,,1
308,5,,,,,2,,1
309,7,,,,,2,,1
310,5,3,4,1,9,2,11,1
311,7,3,5,2,9,2,11,1
312,7,,,,,2,,1
313,6,3,5,2,6,2,12,1
314,7,2,5,1,4,2,14,1
315,7,,,,,1,,1
316,5,,,,,1,,1
317,5,,,,,2,,1
318,7,,,,,1,,1
319,7,,,,,1,,1
320,7,2,5,1,9,2,14,1
321,7,1,5,3,9,2,2,1
322,7,,,,,2,,1
323,7,3,5,1,9,2,13,1
324,7,,,,,2,,1
325,7,,,,,2,,1
326,5,2,4,1,9,2,14,1
327,6,2,5,5,9,2,11,1
328,7,,,,,2,,1
329,7,3,5,6,6,2,14,1
330,5,2,4,1,9,2,14,1
331,6,3,5,5,9,2,1,1
332,5,,,,,1,,1
333,6,3,4,1,9,2,13,1
334,7,,,,,2,,1
335,5,,,,,1,,1
336,5,2,4,2,5,2,11,1
337,7,,,,,2,,1
338,5,,,,,1,,1
339,7,2,5,5,5,2,1,1
340,5,,,,,2,,1
341,5,1,4,5,9,2,12,1
342,7,,,,,1,,1
343,6,2,4,2,9,2,11,1
344,5,,,,,1,,1
345,5,1,4,5,9,1,11,1
346,7,,,,,1,,1
347,7,1,5,3,9,2,1,1
348,5,,,,,2,,1
349,7,,,,,2,,1
350,5,1,4,3,9,2,5,1
351,6,2,5,6,9,2,12,1
352,5,,,,,9,,2
353,5,1,4,1,9,2,11,1
354,7,1,5,3,13,1,2,1
355,6,,,,,1,,1
356,5,1,4,2,9,2,12,1
357,5,1,4,3,8,2,4,1
358,5,,,,,2,,1
359,5,1,4,5,11,2,15,1
360,7,,,,,9,,1
361,5,1,4,1,9,2,14,1
362,5,1,4,3,6,2,2,1
363,5,,,,,2,,1
364,5,1,4,3,5,2,2,1
365,5,,,,,1,,1
366,7,1,5,5,9,2,11,1
367,7,,,,,2,,1
368,7,,,,,2,,1
369,5,,,,,2,,1
370,5,1,4,3,9,2,8,1
371,5,1,4,3,6,2,1,1
372,5,,,,,1,,1
373,5,2,4,3,7,2,2,1
374,5,,,,,2,,1
375,5,2,4,5,1,2,4,1
376,6,1,4,2,6,2,14,1
377,5,3,4,3,1,2,16,1
378,5,,,,,1,,1
379,5,2,4,1,4,2,15,1
380,6,1,5,2,6,2,12,1
381,7,,,,,1,,1
382,5,,,,,2,,1
383,5,,,,,1,,1
384,5,,,,,1,,1
385,7,1,5,5,6,2,8,1
386,5,,,,,2,,1
387,5,,,,,1,,1
388,6,,,,,2,,1
389,5,2,4,1,9,2,11,1
390,5,,,,,1,,1
391,7,,,,,2,,1
392,5,,,,,2,,1
393,7,,,,,1,,1
394,7,,,,,2,,1
395,5,1,4,5,8,2,14,1
396,7,,,,,1,,1
397,7,,,,,1,,1
398,5,,,,,1,,1
399,6,,,,,9,,1
400,5,,,,,1,,1
401,7,,,,,2,,1
402,5,,,,,1,,1
403,6,1,4,3,6,2,8,1
404,6,,,,,2,,1
405,6,,,,,1,,1
406,7,1,4,3,6,2,5,1
407,6,1,4,2,9,2,12,1
408,7,1,5,5,9,2,14,1
409,6,1,5,1,9,2,12,1
410,6,1,5,3,5,2,2,1
411,7,,,,,2,,1
412,7,,,,,1,,1
413,7,,,,,1,,1
414,7,1,4,1,9,2,12,1
415,7,1,5,3,9,2,1,1
416,6,3,4,1,6,2,11,1
417,5,,,,,1,,1
418,7,,,,,2,,1
419,7,,,,,1,,1
420,6,1,5,3,6,2,8,1
421,6,1,5,1,7,2,13,1
422,6,,,,,2,,1
423,7,,,,,2,,1
424,7,,,,,2,,1
425,7,1,5,5,6,2,5,1
426,6,1,5,5,9,2,1,1
427,6,2,5,1,7,2,11,1
428,6,1,5,1,9,2,12,1
429,7,,,,,2,,1
430,6,1,5,3,6,2,2,1
431,7,1,5,5,9,2,5,1
432,7,,,,,3,,1
433,7,1,4,5,9,2,11,1
434,6,3,5,3,5,2,6,1
435,7,1,5,1,9,2,11,1
436,6,,,,,1,,1
437,6,1,5,3,6,2,1,1
438,7,,,,,2,,1
439,6,,,,,2,,1
440,7,,,,,2,,1
441,7,1,4,1,5,2,12,1
442,7,2,5,3,7,2,5,1
443,6,1,4,2,9,2,11,1
444,6,1,4,2,9,2,11,1
445,5,1,4,3,6,2,8,1
446,7,,,,,1,,1
447,7,1,5,5,9,2,11,1
448,7,,,,,2,,1
449,6,,,,,1,,1
450,6,1,5,1,14,2,13,1
451,7,2,5,3,5,2,1,1
452,6,2,5,5,6,2,1,1
453,6,1,5,4,7,2,2,2
454,7,1,5,5,6,2,2,1
455,7,,,,,1,,1
456,7,1,5,3,9,2,5,1
457,7,,,,,2,,1
458,7,1,5,2,9,8,14,1
459,7,,,,,9,,2
460,7,1,5,1,15,2,11,1
461,7,,,,,2,,1
462,7,1,5,3,9,2,1,1
463,7,1,5,2,9,1,11,1
464,7,1,5,5,9,2,12,1
465,7,1,5,5,9,9,14,1
466,7,1,5,1,9,2,11,1
467,7,,,,,9,,1
468,7,,,,,10,,1
469,7,,,,,2,,1
470,7,,,,,1,,1
471,7,,,,,2,,1
472,6,2,5,1,9,2,14,1
473,7,3,5,5,6,2,14,1
474,7,,,,,2,,1
475,7,2,5,2,9,2,12,1
476,7,,,,,1,,1
477,7,2,5,1,9,2,12,1
478,7,,,,,,,1
479,7,2,5,3,9,2,4,1
480,7,2,5,1,9,2,12,1
481,7,,,,,2,,1
482,7,2,5,5,9,,,1
483,7,,,,,2,,1
484,7,2,5,5,11,2,16,1
485,7,3,5,2,9,2,11,1
486,7,2,5,5,2,2,3,1
487,7,,,,,9,,1
488,7,2,5,2,6,2,14,1
489,7,,,,,2,,1
490,7,3,5,1,11,2,14,1
491,7,,,,,1,,1
492,7,,,,,9,,1
493,7,1,5,1,9,2,11,1
494,7,,,,,2,,1
495,7,,,,,2,,1
496,7,3,5,1,11,2,14,1
497,7,,,,,2,,1
498,7,,,,,2,,1
499,7,3,5,1,5,2,12,1
500,7,2,5,1,6,2,11,1
501,7,3,5,1,9,2,12,1
502,7,2,5,2,1,2,11,1
503,7,,,,,1,,1
504,7,,,,,1,,1
505,7,2,5,2,9,2,12,1
506,7,,,,,2,,1
507,7,,,,,2,,1
508,7,2,5,3,6,2,5,1
509,7,,,,,2,,1
510,7,2,5,3,5,2,2,1
511,7,,,,,1,,1
512,7,,,,,1,,1
513,7,,,,,2,,1
514,7,2,5,2,6,2,14,1
515,7,3,5,1,9,2,14,1
516,7,,,,,1,,1
517,7,2,5,3,,2,8,1
518,7,2,5,5,6,2,1,1
519,7,3,5,3,2,2,8,1
520,7,2,5,3,1,2,8,1
521,7,1,5,5,8,2,7,1
522,7,,,,,1,,1
523,7,2,5,3,6,2,5,1
524,7,2,5,2,1,2,14,1
525,7,2,5,3,2,2,16,1
526,7,,,,,2,,1
527,7,2,5,1,9,2,11,1
528,7,1,5,4,9,2,11,1
529,7,,,,,1,,1
530,7,2,5,3,5,2,2,1
531,7,3,5,3,9,2,5,1
532,7,,,,,9,,1
533,7,3,5,3,1,2,8,1
534,6,,,,,1,,1
535,7,1,5,5,9,2,14,1
536,7,2,5,1,6,2,13,1
537,7,,,,,2,,1
538,7,2,5,3,9,2,2,1
539,7,,,,,2,,1
540,7,,,,,2,,1
541,6,2,5,3,9,2,1,1
542,7,2,5,3,9,2,4,1
543,6,2,5,5,1,2,5,1
544,7,2,5,2,9,2,11,1
545,7,,,,,1,,1
546,7,,,,,3,,1
547,7,2,5,,,1,,1
548,7,3,5,3,8,2,8,1
549,7,,,,,2,,1
550,7,3,5,1,9,1,14,1
551,7,2,5,2,6,2,14,1
552,7,,,,,2,,1
553,7,2,5,3,9,2,5,1
554,7,3,5,3,14,2,2,1
555,7,,,,,2,,1
556,7,,,,,2,,1
557,7,,,,,2,,1
558,7,2,5,5,6,2,14,1
559,7,,,,,2,,1
560,7,,,,,1,,1
561,7,,,,,1,,1
562,7,3,5,,,2,,1
563,7,,,,,2,,1
564,7,3,5,3,5,2,2,1
565,7,,,,,1,,1
566,7,3,5,1,9,2,12,1
567,7,2,5,5,9,2,14,1
568,7,,,,,1,,1
569,7,2,5,2,9,2,11,1
570,7,,,,,1,,1
571,7,,,,,2,,1
572,7,,,,,1,,1
573,7,3,5,,,9,,1
574,7,2,5,5,6,2,14,1
575,7,1,5,2,9,1,12,1
576,7,,,,,2,,1
577,7,,,,,,,1
578,7,1,5,5,15,2,5,1
579,7,,,,,1,,1
580,7,,,,,2,,1
581,7,3,5,5,9,2,2,1
582,7,,,,,2,,1
583,7,2,5,3,5,2,6,1
584,7,,,,,1,,1
585,7,,,,,10,,1
586,7,,,,,2,,1
587,7,2,5,3,1,2,8,1
588,7,,,,,2,,1
589,7,2,5,1,9,2,12,1
590,6,2,5,2,9,2,12,1
591,7,,,,,1,,1
592,7,,,,,2,,1
593,7,,,,,1,,1
594,7,,,,,2,,1
595,7,,,,,2,,1
596,7,3,5,3,5,2,2,1
597,7,,,,,2,,1
598,7,,,,,1,,1
599,7,3,5,1,9,2,14,1
600,7,3,5,,,2,,1
601,7,3,5,1,9,2,11,1
602,7,,,,,1,,1
603,7,1,5,3,11,2,4,1
604,7,2,5,1,9,2,11,1
605,7,,,,,2,,1
606,7,,,,,2,,1
607,7,,,,,2,,1
608,7,,,,,2,,1
609,7,,,,,1,,1
610,7,,,,,,,1
611,7,2,5,5,9,2,11,1
612,7,2,5,1,9,2,12,1
613,7,2,5,1,11,2,12,1
614,7,3,5,,,1,,1
615,7,,,,,2,,1
616,7,3,5,6,6,2,12,1
617,7,,,,,2,,1
618,7,,,,,2,,1
619,7,,,,,1,,1
620,7,,,,,1,,1
621,7,,,,,2,,1
622,7,,,,,1,,1
623,7,,,,,1,,1
624,7,2,5,5,2,1,7,1
625,7,,,,,2,,1
626,7,,,,,2,,1
627,7,2,5,5,9,2,11,1
628,6,,,,,1,,1
629,7,,,,,1,,1
630,7,2,5,3,2,2,3,1
631,7,,,,,2,,1
632,7,,,,,,,1
633,7,3,5,2,7,2,12,1
634,7,3,5,2,9,2,11,1
635,7,,,,,1,,1
636,7,2,5,1,6,2,13,1
637,7,2,5,3,7,2,6,1
638,7,3,5,1,9,1,11,1
639,7,3,5,3,9,2,1,1
640,7,,,,,2,,1
641,7,3,5,2,9,2,14,1
642,7,2,5,3,7,2,6,1
643,7,1,5,5,6,2,1,1
644,7,,,,,9,,2
645,7,2,5,6,9,2,15,1
646,7,2,5,2,5,2,13,1
647,7,,,,,1,,1
648,7,2,5,5,9,2,8,1
649,7,,,,,1,,1
650,7,3,5,1,9,2,11,1
651,7,,,,,2,,1
652,7,,,,,2,,1
653,7,2,5,2,9,2,11,1
654,7,,,,,2,,1
655,7,3,5,1,9,1,11,1
656,7,,,,,2,,1
657,7,2,5,4,9,2,11,1
658,7,,,,,2,,1
659,7,,,,,2,,1
660,7,,,,,2,,1
661,7,3,5,1,9,2,11,1
662,7,,,,,1,,1
663,7,2,5,3,5,2,5,1
664,7,2,5,3,9,2,2,1
665,7,2,5,3,1,2,1,1
666,7,3,5,3,9,2,1,1
667,7,3,5,3,9,2,1,1
668,7,,,,,2,,1
669,7,1,5,1,6,2,12,1
670,7,3,5,1,6,2,11,1
671,7,,,,,1,,1
672,7,,,,,1,,1
673,6,2,5,5,5,2,5,1
674,7,,,,,2,,1
675,7,,,,,2,,1
676,7,,,,,1,,1
677,7,,,,,1,,1
678,7,2,5,,,2,,1
679,7,2,5,6,6,9,15,1
680,7,,,,,1,,1
681,7,,,,,2,,1
682,7,3,5,3,5,2,2,1
683,7,,,,,1,,1
684,7,2,5,1,9,2,11,1
685,7,2,5,1,9,2,11,1
686,7,,,,,9,,1
687,6,3,5,3,5,2,5,1
688,7,1,5,3,6,2,5,1
689,7,2,5,3,9,2,1,1
690,7,3,5,2,9,2,14,1
691,7,3,5,2,9,2,12,1
692,7,3,5,1,9,2,11,1
693,7,,,,,1,,1
694,7,,,,,2,,1
695,7,,,,,2,,1
696,7,,,,,2,,1
697,7,1,5,1,9,2,14,1
698,7,2,5,2,6,2,12,1
699,6,,,,,2,,1
700,7,,,,,1,,1
701,7,2,5,,,1,,1
702,7,,,,,2,,1
703,7,2,5,5,9,2,12,1
704,7,,,,,2,,1
705,7,3,5,3,9,2,1,1
706,7,2,5,3,9,2,2,1
707,7,,,,,2,,1
708,7,,,,,2,,1
709,7,2,5,3,6,2,8,1
710,7,2,5,1,6,2,11,1
711,7,2,5,5,6,1,4,1
712,7,,,,,2,,1
713,7,,,,,9,,2
714,7,,,,,1,,1
715,7,3,5,,,2,,1
716,7,,,,,2,,1
717,7,2,5,1,9,2,11,1
718,7,,,,,2,,1
719,7,,,,,2,,1
720,7,,,,,2,,1
721,7,,,,,2,,1
722,7,2,5,4,5,2,2,1
723,5,1,4,1,9,2,12,1
724,7,3,5,3,1,2,8,1
725,7,2,5,,,2,,1
726,7,2,5,1,9,2,11,1
727,7,2,5,3,9,2,5,1
728,7,,,,,1,,2
729,7,2,5,1,9,2,11,1
730,7,,,,,2,,1
731,7,,,,,2,,1
732,7,3,5,1,6,2,13,1
733,6,,,,,1,,1
734,7,,,,,2,,1
735,7,,,,,2,,1
736,7,1,5,1,9,2,11,1
737,7,3,5,1,6,2,11,1
738,6,1,5,2,1,2,11,1
739,7,1,5,3,8,2,8,1
740,7,,,,,2,,1
741,6,1,4,3,5,2,2,1
742,7,1,4,5,6,2,1,1
743,7,,,,,1,,1
744,7,1,5,1,1,2,11,1
745,7,,,,,2,,1
746,7,,,,,,,1
747,7,2,5,3,6,2,8,1
748,7,,,,,1,,1
749,7,,,,,1,,1
750,7,,,,,2,,1
751,7,1,5,1,9,2,11,1
752,7,,,,,1,,1
753,7,,,,,2,,1
754,7,1,5,3,9,2,1,1
755,6,1,5,5,1,2,1,1
756,7,1,5,5,9,2,4,1
757,7,1,5,3,5,2,15,1
758,7,1,5,3,5,2,5,1
759,6,1,5,3,5,2,2,1
760,7,,,,,11,,1
761,5,,,,,1,,1
762,6,,,,,2,,1
763,6,1,5,3,6,2,16,1
764,7,1,4,5,9,2,16,1
765,7,1,5,1,5,2,11,1
766,5,1,4,3,6,2,1,1
767,7,1,5,3,13,1,4,1
768,7,,,,,2,,1
769,7,,,,,1,,1
770,7,1,5,5,6,2,1,1
771,7,,,,,9,,1
772,5,2,4,1,7,9,13,1
773,7,1,5,1,9,2,11,1
774,6,1,4,1,6,2,12,1
775,7,2,5,2,9,2,11,1
776,6,1,5,2,6,2,12,1
777,7,,,,,2,,1
778,7,1,5,,,2,,1
779,7,,,,,2,,1
780,6,1,5,1,9,2,12,1
781,7,,,,,2,,1
782,6,2,5,5,11,2,4,1
783,7,,,,,2,,1
784,7,,,,,1,,1
785,7,,,,,1,,1
786,7,,,,,1,,1
787,7,,,,,9,,2
788,7,1,5,1,6,3,11,1
789,7,1,5,5,6,2,1,1
790,7,,,,,2,,1
791,7,1,5,3,5,2,5,1
792,7,,,,,1,,1
793,7,1,5,5,9,2,11,1
794,7,,,,,1,,1
795,7,,,,,2,,1
796,7,1,5,3,6,2,2,1
797,7,1,5,5,9,2,12,1
798,7,,,,,2,,1
799,7,1,5,2,9,2,11,1
800,6,,,,,2,,1
801,6,,,,,11,,1
802,7,,,,,1,,1
803,7,2,5,3,6,2,6,1
804,7,1,5,6,16,10,17,1
805,7,,,,,2,,1
806,7,1,5,3,14,11,1,1
807,7,1,5,3,5,2,8,1
808,7,,,,,2,,1
809,7,1,5,5,6,2,12,1
810,7,,,,,1,,1
811,7,1,5,3,6,2,8,1
812,7,1,5,3,9,2,1,1
813,7,3,5,1,9,7,11,1
814,7,1,5,5,15,2,14,1
815,7,1,5,3,9,2,1,1
816,7,1,5,3,9,8,8,1
817,7,1,5,1,9,2,11,1
818,7,,,,,9,,1
819,7,,,,,,,1
820,7,,,,,1,,1
821,7,2,5,3,5,2,6,1
822,6,2,5,5,6,2,12,1
823,6,2,5,2,9,2,14,1
824,5,2,4,5,9,2,12,1
825,7,,,,,,,1
826,6,2,5,1,9,2,11,1
827,5,,,,,9,,1
828,6,3,5,1,6,2,11,1
829,6,3,5,1,9,2,12,1
830,7,,,,,2,,1
831,6,2,5,5,6,2,14,1
832,7,2,5,1,9,2,14,1
833,6,2,5,3,9,2,1,1
834,5,2,4,2,9,2,11,1
835,6,2,5,2,9,2,11,1
836,5,3,4,1,9,2,11,1
837,7,2,4,1,9,2,16,1
838,5,,,,,2,,1
839,5,2,4,1,9,2,11,1
840,5,1,4,5,5,2,13,1
841,5,,,,,2,,1
842,5,3,4,3,5,2,2,1
843,6,2,5,1,9,2,14,1
844,6,3,5,2,9,2,14,1
845,5,2,4,3,5,2,2,1
846,5,,,,,9,,1
847,5,3,4,1,5,2,16,1
848,6,2,4,2,9,2,11,1
849,6,2,5,3,5,2,6,1
850,5,1,4,,,2,,1
851,5,3,4,1,1,2,14,1
852,5,2,4,1,9,2,14,1
853,5,3,4,,,1,,1
854,5,,,,,2,,1
855,6,1,4,2,9,2,12,1
856,5,,,,,2,,1
857,7,2,5,2,9,2,11,1
858,7,3,5,1,10,2,11,1
859,7,,,,,2,,1
860,5,,,,,1,,1
861,7,2,5,3,5,2,5,1
862,5,1,4,3,11,2,4,1
863,5,,,,,9,,1
864,5,,,,,2,,1
865,5,3,4,1,9,2,12,1
866,5,3,4,1,9,2,15,1
867,5,,,,,2,,1
868,6,2,5,3,9,2,4,1
869,5,,,,,1,,1
870,5,,,,,2,,1
871,5,,,,,2,,1
872,5,,,,,2,,1
873,5,2,4,3,2,2,3,1
874,5,2,4,1,9,2,14,1
875,5,2,4,1,9,2,11,1
876,5,,,,,2,,1
877,6,,,,,2,,1
878,5,2,4,5,9,2,1,1
879,5,3,4,1,15,2,11,1
880,7,,,,,1,,1
881,5,,,,,1,,1
882,5,3,4,1,15,2,12,1
883,7,,,,,2,,1
884,5,2,4,2,5,2,16,1
885,5,2,4,1,12,2,12,1
886,5,,,,,2,,1
887,5,1,4,3,9,1,15,1
888,5,2,4,1,9,2,14,1
889,5,,,,,2,,1
890,5,,,,,2,,1
891,5,,,,,1,,1
